Name,SYMBOL,NAME OF COMPANY, SERIES
20MICRONS.NS,20MICRONS,20 Microns Limited,EQ
21STCENMGM.NS,21STCENMGM,21st Century Management Services Limited,EQ
3IINFOTECH.NS,3IINFOTECH,3i Infotech Limited,EQ
3MINDIA.NS,3MINDIA,3M India Limited,EQ
3PLAND.NS,3PLAND,3P Land Holdings Limited,EQ
5PAISA.NS,5PAISA,5Paisa Capital Limited,EQ
63MOONS.NS,63MOONS,63 moons technologies limited,BE
8KMILES.NS,8KMILES,8K Miles Software Services Limited,BZ
A2ZINFRA.NS,A2ZINFRA,A2Z Infra Engineering Limited,EQ
AARTIDRUGS.NS,AARTIDRUGS,Aarti Drugs Limited,EQ
AARTIIND.NS,AARTIIND,Aarti Industries Limited,EQ
AARVEEDEN.NS,AARVEEDEN,Aarvee Denims & Exports Limited,EQ
AAVAS.NS,AAVAS,Aavas Financiers Limited,EQ
ABAN.NS,ABAN,Aban Offshore Limited,BE
ABB.NS,ABB,ABB India Limited,EQ
ABBOTINDIA.NS,ABBOTINDIA,Abbott India Limited,EQ
ABCAPITAL.NS,ABCAPITAL,Aditya Birla Capital Limited,EQ
ABFRL.NS,ABFRL,Aditya Birla Fashion and Retail Limited,EQ
ABMINTLTD.NS,ABMINTLTD,ABM International Limited,BE
ACC.NS,ACC,ACC Limited,EQ
ACCELYA.NS,ACCELYA,Accelya Solutions India Limited,EQ
ACE.NS,ACE,Action Construction Equipment Limited,EQ
ADANIENT.NS,ADANIENT,Adani Enterprises Limited,EQ
ADANIGAS.NS,ADANIGAS,Adani Gas Limited,EQ
ADANIGREEN.NS,ADANIGREEN,Adani Green Energy Limited,EQ
ADANIPORTS.NS,ADANIPORTS,Adani Ports and Special Economic Zone Limited,EQ
ADANIPOWER.NS,ADANIPOWER,Adani Power Limited,EQ
ADANITRANS.NS,ADANITRANS,Adani Transmission Limited,EQ
ADFFOODS.NS,ADFFOODS,ADF Foods Limited,EQ
ADHUNIKIND.NS,ADHUNIKIND,Adhunik Industries Limited,EQ
ADORWELD.NS,ADORWELD,Ador Welding Limited,EQ
ADROITINFO.NS,ADROITINFO,Adroit Infotech Limited,BE
ADSL.NS,ADSL,Allied Digital Services Limited,EQ
ADVANIHOTR.NS,ADVANIHOTR,Advani Hotels & Resorts (India) Limited,EQ
ADVENZYMES.NS,ADVENZYMES,Advanced Enzyme Technologies Limited,EQ
AEGISCHEM.NS,AEGISCHEM,Aegis Logistics Limited,EQ
AFFLE.NS,AFFLE,Affle (India) Limited,BE
AGARIND.NS,AGARIND,Agarwal Industrial Corporation Limited,EQ
AGCNET.NS,AGCNET,AGC Networks Limited,BE
AGRITECH.NS,AGRITECH,Agri-Tech (India) Limited,BE
AGROPHOS.NS,AGROPHOS,Agro Phos India Limited,EQ
AHLEAST.NS,AHLEAST,Asian Hotels (East) Limited,EQ
AHLUCONT.NS,AHLUCONT,Ahluwalia Contracts (India) Limited,EQ
AHLWEST.NS,AHLWEST,Asian Hotels (West) Limited,BE
AIAENG.NS,AIAENG,AIA Engineering Limited,EQ
AIONJSW.NS,AIONJSW,Monnet Ispat & Energy Limited,BE
AIRAN.NS,AIRAN,Airan Limited,EQ
AJANTPHARM.NS,AJANTPHARM,Ajanta Pharma Limited,EQ
AJMERA.NS,AJMERA,Ajmera Realty & Infra India Limited,EQ
AKASH.NS,AKASH,Akash Infra-Projects Limited,BE
AKSHARCHEM.NS,AKSHARCHEM,AksharChem India Limited,EQ
AKSHOPTFBR.NS,AKSHOPTFBR,Aksh Optifibre Limited,EQ
AKZOINDIA.NS,AKZOINDIA,Akzo Nobel India Limited,EQ
ALANKIT.NS,ALANKIT,Alankit Limited,EQ
ALBERTDAVD.NS,ALBERTDAVD,Albert David Limited,EQ
ALCHEM.NS,ALCHEM,Alchemist Limited,BE
ALEMBICLTD.NS,ALEMBICLTD,Alembic Limited,EQ
ALICON.NS,ALICON,Alicon Castalloy Limited,EQ
ALKALI.NS,ALKALI,Alkali Metals Limited,EQ
ALKEM.NS,ALKEM,Alkem Laboratories Limited,EQ
ALKYLAMINE.NS,ALKYLAMINE,Alkyl Amines Chemicals Limited,EQ
ALLCARGO.NS,ALLCARGO,Allcargo Logistics Limited,EQ
ALLSEC.NS,ALLSEC,Allsec Technologies Limited,EQ
ALMONDZ.NS,ALMONDZ,Almondz Global Securities Limited,EQ
ALOKINDS.NS,ALOKINDS,Alok Industries Limited,EQ
ALPA.NS,ALPA,Alpa Laboratories Limited,EQ
ALPHAGEO.NS,ALPHAGEO,Alphageo (India) Limited,EQ
ALPSINDUS.NS,ALPSINDUS,Alps Industries Limited,BE
AMARAJABAT.NS,AMARAJABAT,Amara Raja Batteries Limited,EQ
AMBER.NS,AMBER,Amber Enterprises India Limited,EQ
AMBIKCO.NS,AMBIKCO,Ambika Cotton Mills Limited,EQ
AMBUJACEM.NS,AMBUJACEM,Ambuja Cements Limited,EQ
AMDIND.NS,AMDIND,AMD Industries Limited,EQ
AMJLAND.NS,AMJLAND,Amj Land Holdings Limited,EQ
AMRUTANJAN.NS,AMRUTANJAN,Amrutanjan Health Care Limited,EQ
ANANTRAJ.NS,ANANTRAJ,Anant Raj Limited,EQ
ANDHRACEMT.NS,ANDHRACEMT,Andhra Cements Limited,BE
ANDHRAPAP.NS,ANDHRAPAP,ANDHRA PAPER LIMITED,EQ
ANDHRSUGAR.NS,ANDHRSUGAR,The Andhra Sugars Limited,EQ
ANIKINDS.NS,ANIKINDS,Anik Industries Limited,BE
ANKITMETAL.NS,ANKITMETAL,Ankit Metal & Power Limited,EQ
ANSALAPI.NS,ANSALAPI,Ansal Properties & Infrastructure Limited,BE
ANSALHSG.NS,ANSALHSG,Ansal Housing Limited,EQ
ANUP.NS,ANUP,The Anup Engineering Limited,EQ
APARINDS.NS,APARINDS,Apar Industries Limited,EQ
APCL.NS,APCL,Anjani Portland Cement Limited,EQ
APCOTEXIND.NS,APCOTEXIND,Apcotex Industries Limited,EQ
APEX.NS,APEX,Apex Frozen Foods Limited,EQ
APLAPOLLO.NS,APLAPOLLO,APL Apollo Tubes Limited,EQ
APLLTD.NS,APLLTD,Alembic Pharmaceuticals Limited,EQ
APOLLO.NS,APOLLO,Apollo Micro Systems Limited,EQ
APOLLOHOSP.NS,APOLLOHOSP,Apollo Hospitals Enterprise Limited,EQ
APOLLOPIPE.NS,APOLLOPIPE,Apollo Pipes Limited,EQ
APOLLOTYRE.NS,APOLLOTYRE,Apollo Tyres Limited,EQ
APOLSINHOT.NS,APOLSINHOT,Apollo Sindoori Hotels Limited,EQ
APTECHT.NS,APTECHT,Aptech Limited,EQ
ARCHIDPLY.NS,ARCHIDPLY,Archidply Industries Limited,EQ
ARCHIES.NS,ARCHIES,Archies Limited,BE
ARCOTECH.NS,ARCOTECH,Arcotech Limited,BE
ARENTERP.NS,ARENTERP,Rajdarshan Industries Limited,EQ
ARIES.NS,ARIES,Aries Agro Limited,EQ
ARIHANT.NS,ARIHANT,Arihant Foundations & Housing Limited,EQ
ARIHANTSUP.NS,ARIHANTSUP,Arihant Superstructures Limited,EQ
ARMANFIN.NS,ARMANFIN,Arman Financial Services Limited,EQ
AROGRANITE.NS,AROGRANITE,Aro Granite Industries Limited,EQ
ARROWGREEN.NS,ARROWGREEN,Arrow Greentech Limited,BE
ARSHIYA.NS,ARSHIYA,Arshiya Limited,BE
ARSSINFRA.NS,ARSSINFRA,ARSS Infrastructure Projects Limited,BE
ARTEMISMED.NS,ARTEMISMED,Artemis Medicare Services Limited,EQ
ARVIND.NS,ARVIND,Arvind Limited,EQ
ARVINDFASN.NS,ARVINDFASN,Arvind Fashions Limited,EQ
ARVSMART.NS,ARVSMART,Arvind SmartSpaces Limited,EQ
ASAHIINDIA.NS,ASAHIINDIA,Asahi India Glass Limited,EQ
ASAHISONG.NS,ASAHISONG,Asahi Songwon Colors Limited,EQ
ASAL.NS,ASAL,Automotive Stampings and Assemblies Limited,EQ
ASALCBR.NS,ASALCBR,Associated Alcohols & Breweries Ltd.,EQ
ASHAPURMIN.NS,ASHAPURMIN,Ashapura Minechem Limited,EQ
ASHIANA.NS,ASHIANA,Ashiana Housing Limited,EQ
ASHIMASYN.NS,ASHIMASYN,Ashima Limited,BE
ASHOKA.NS,ASHOKA,Ashoka Buildcon Limited,EQ
ASHOKLEY.NS,ASHOKLEY,Ashok Leyland Limited,EQ
ASIANHOTNR.NS,ASIANHOTNR,Asian Hotels (North) Limited,EQ
ASIANPAINT.NS,ASIANPAINT,Asian Paints Limited,EQ
ASIANTILES.NS,ASIANTILES,Asian Granito India Limited,EQ
ASPINWALL.NS,ASPINWALL,Aspinwall and Company Limited,EQ
ASTEC.NS,ASTEC,Astec LifeSciences Limited,EQ
ASTERDM.NS,ASTERDM,Aster DM Healthcare Limited,EQ
ASTRAL.NS,ASTRAL,Astral Poly Technik Limited,EQ
ASTRAMICRO.NS,ASTRAMICRO,Astra Microwave Products Limited,EQ
ASTRAZEN.NS,ASTRAZEN,AstraZeneca Pharma India Limited,EQ
ASTRON.NS,ASTRON,Astron Paper & Board Mill Limited,EQ
ATFL.NS,ATFL,Agro Tech Foods Limited,EQ
ATLANTA.NS,ATLANTA,Atlanta  Limited,EQ
ATLASCYCLE.NS,ATLASCYCLE,Atlas Cycles (Haryana) Limited,BE
ATNINTER.NS,ATNINTER,ATN International Limited,BE
ATUL.NS,ATUL,Atul Limited,EQ
ATULAUTO.NS,ATULAUTO,Atul Auto Limited,EQ
AUBANK.NS,AUBANK,AU Small Finance Bank Limited,EQ
AURIONPRO.NS,AURIONPRO,Aurionpro Solutions Limited,EQ
AUROPHARMA.NS,AUROPHARMA,Aurobindo Pharma Limited,EQ
AUSOMENT.NS,AUSOMENT,Ausom Enterprise Limited,EQ
AUTOAXLES.NS,AUTOAXLES,Automotive Axles Limited,EQ
AUTOIND.NS,AUTOIND,Autoline Industries Limited,BE
AUTOLITIND.NS,AUTOLITIND,Autolite (India) Limited,EQ
AVADHSUGAR.NS,AVADHSUGAR,Avadh Sugar & Energy Limited,EQ
AVANTIFEED.NS,AVANTIFEED,Avanti Feeds Limited,EQ
AVTNPL.NS,AVTNPL,AVT Natural Products Limited,EQ
AXISBANK.NS,AXISBANK,Axis Bank Limited,EQ
AXISCADES.NS,AXISCADES,AXISCADES Engineering Technologies Limited,EQ
AYMSYNTEX.NS,AYMSYNTEX,AYM Syntex Limited,EQ
BAFNAPH.NS,BAFNAPH,Bafna Pharmaceuticals Limited,BE
BAGFILMS.NS,BAGFILMS,B.A.G Films and Media Limited,BE
BAJAJ-AUTO.NS,BAJAJ-AUTO,Bajaj Auto Limited,EQ
BAJAJCON.NS,BAJAJCON,Bajaj Consumer Care Limited,EQ
BAJAJELEC.NS,BAJAJELEC,Bajaj Electricals Limited,EQ
BAJAJFINSV.NS,BAJAJFINSV,Bajaj Finserv Limited,EQ
BAJAJHIND.NS,BAJAJHIND,Bajaj Hindusthan Sugar Limited,EQ
BAJAJHLDNG.NS,BAJAJHLDNG,Bajaj Holdings & Investment Limited,EQ
BAJFINANCE.NS,BAJFINANCE,Bajaj Finance Limited,EQ
BALAJITELE.NS,BALAJITELE,Balaji Telefilms Limited,EQ
BALAMINES.NS,BALAMINES,Balaji Amines Limited,EQ
BALAXI.NS,BALAXI,Balaxi Ventures Limited,BE
BALKRISHNA.NS,BALKRISHNA,Balkrishna Paper Mills Limited,EQ
BALKRISIND.NS,BALKRISIND,Balkrishna Industries Limited,EQ
BALLARPUR.NS,BALLARPUR,Ballarpur Industries Limited,EQ
BALMLAWRIE.NS,BALMLAWRIE,Balmer Lawrie & Company Limited,EQ
BALPHARMA.NS,BALPHARMA,Bal Pharma Limited,BE
BALRAMCHIN.NS,BALRAMCHIN,Balrampur Chini Mills Limited,EQ
BANARBEADS.NS,BANARBEADS,Banaras Beads Limited,EQ
BANARISUG.NS,BANARISUG,Bannari Amman Sugars Limited,EQ
BANCOINDIA.NS,BANCOINDIA,Banco Products (I) Limited,EQ
BANDHANBNK.NS,BANDHANBNK,Bandhan Bank Limited,EQ
BANG.NS,BANG,Bang Overseas Limited,EQ
BANKBARODA.NS,BANKBARODA,Bank of Baroda,EQ
BANKINDIA.NS,BANKINDIA,Bank of India,EQ
BANSWRAS.NS,BANSWRAS,Banswara Syntex Limited,EQ
BARTRONICS.NS,BARTRONICS,Bartronics India Limited,BZ
BASF.NS,BASF,BASF India Limited,EQ
BASML.NS,BASML,Bannari Amman Spinning Mills Limited,EQ
BATAINDIA.NS,BATAINDIA,Bata India Limited,EQ
BAYERCROP.NS,BAYERCROP,Bayer Cropscience Limited,EQ
BBL.NS,BBL,Bharat Bijlee Limited,EQ
BBTC.NS,BBTC,Bombay Burmah Trading Corporation Limited,EQ
BCG.NS,BCG,Brightcom Group Limited,EQ
BCP.NS,BCP,B.C. Power Controls Ltd,BE
BDL.NS,BDL,Bharat Dynamics Limited,EQ
BEARDSELL.NS,BEARDSELL,Beardsell Limited,EQ
BEDMUTHA.NS,BEDMUTHA,Bedmutha Industries Limited,EQ
BEL.NS,BEL,Bharat Electronics Limited,EQ
BEML.NS,BEML,BEML Limited,EQ
BEPL.NS,BEPL,Bhansali Engineering Polymers Limited,EQ
BERGEPAINT.NS,BERGEPAINT,Berger Paints (I) Limited,EQ
BFINVEST.NS,BFINVEST,BF Investment Limited,EQ
BFUTILITIE.NS,BFUTILITIE,BF Utilities Limited,EQ
BGRENERGY.NS,BGRENERGY,BGR Energy Systems Limited,EQ
BHAGERIA.NS,BHAGERIA,Bhageria Industries Limited,EQ
BHAGYANGR.NS,BHAGYANGR,Bhagyanagar India Limited,EQ
BHAGYAPROP.NS,BHAGYAPROP,Bhagyanagar Properties Limited,EQ
BHANDARI.NS,BHANDARI,Bhandari Hosiery Exports Limited,EQ
BHARATFORG.NS,BHARATFORG,Bharat Forge Limited,EQ
BHARATGEAR.NS,BHARATGEAR,Bharat Gears Limited,BE
BHARATRAS.NS,BHARATRAS,Bharat Rasayan Limited,EQ
BHARATWIRE.NS,BHARATWIRE,Bharat Wire Ropes Limited,EQ
BHARTIARTL.NS,BHARTIARTL,Bharti Airtel Limited,EQ
BHEL.NS,BHEL,Bharat Heavy Electricals Limited,EQ
BIGBLOC.NS,BIGBLOC,Bigbloc Construction Limited,EQ
BIL.NS,BIL,Bhartiya International Limited,EQ
BILENERGY.NS,BILENERGY,Bil Energy Systems Limited,EQ
BINANIIND.NS,BINANIIND,Binani Industries Limited,BZ
BINDALAGRO.NS,BINDALAGRO,Oswal Chemicals & Fertilizers Limited,EQ
BIOCON.NS,BIOCON,Biocon Limited,EQ
BIOFILCHEM.NS,BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Limited,EQ
BIRLACABLE.NS,BIRLACABLE,Birla Cable Limited,EQ
BIRLACORPN.NS,BIRLACORPN,Birla Corporation Limited,EQ
BIRLAMONEY.NS,BIRLAMONEY,Aditya Birla Money Limited,EQ
BIRLATYRE.NS,BIRLATYRE,Birla Tyres Limited,BE
BKMINDST.NS,BKMINDST,Bkm Industries Limited,BE
BLBLIMITED.NS,BLBLIMITED,BLB Limited,EQ
BLISSGVS.NS,BLISSGVS,Bliss GVS Pharma Limited,EQ
BLKASHYAP.NS,BLKASHYAP,B. L. Kashyap and Sons Limited,BE
BLS.NS,BLS,BLS International Services Limited,EQ
BLUEBLENDS.NS,BLUEBLENDS,Blue Blends (I) Limited,BZ
BLUECHIP.NS,BLUECHIP,Blue Chip India Limited,BE
BLUECOAST.NS,BLUECOAST,Blue Coast Hotels Limited,BE
BLUEDART.NS,BLUEDART,Blue Dart Express Limited,EQ
BLUESTARCO.NS,BLUESTARCO,Blue Star Limited,EQ
BODALCHEM.NS,BODALCHEM,Bodal Chemicals Limited,EQ
BOMDYEING.NS,BOMDYEING,Bombay Dyeing & Mfg Company Limited,EQ
BORORENEW.NS,BORORENEW,BOROSIL RENEWABLES LIMITED,EQ
BOSCHLTD.NS,BOSCHLTD,Bosch Limited,EQ
BPCL.NS,BPCL,Bharat Petroleum Corporation Limited,EQ
BPL.NS,BPL,BPL Limited,BE
BRFL.NS,BRFL,Bombay Rayon Fashions Limited,BE
BRIGADE.NS,BRIGADE,Brigade Enterprises Limited,EQ
BRITANNIA.NS,BRITANNIA,Britannia Industries Limited,EQ
BRNL.NS,BRNL,Bharat Road Network Limited,EQ
BROOKS.NS,BROOKS,Brooks Laboratories Limited,BE
BSE.NS,BSE,BSE Limited,EQ
BSELINFRA.NS,BSELINFRA,BSEL Infrastructure Realty Limited,EQ
BSL.NS,BSL,BSL Limited,EQ
